id,title,scam_type,description,sample_text,indicators,risk_level,source,verified
102,Fake Customs Parcel Fee,delivery_scam,A fake courier requests a customs payment to release a parcel.,"Your parcel is held at customs. Pay the release fee today to avoid return to sender.",customs fee|delivery impersonation|payment request,HIGH,BanteayDigital demo verified seed,true
103,ABA Security Update Link,phishing,A bank impersonation message asks a customer to update account security through an unsolicited link.,"ABA security update required. Verify your account now to prevent suspension.",bank impersonation|account threat|credential lure,CRITICAL,BanteayDigital demo verified seed,true
104,Guaranteed USDT Return,investment_scam,A crypto investment offer promises a guaranteed return.,"Deposit 100 USDT today and receive a guaranteed 20 percent return tomorrow.",guaranteed return|crypto payment|unrealistic profit,CRITICAL,BanteayDigital demo verified seed,true
105,Commission Task Recharge,task_scam,A task scheme requests a recharge before commissions can be withdrawn.,"Complete product rating tasks then recharge your wallet to unlock commission.",task commission|wallet recharge|advance payment,HIGH,BanteayDigital demo verified seed,true
106,Romance Hospital Emergency,romance_scam,A relationship contact requests urgent money for a claimed hospital emergency.,"My family member is in hospital. Please send money through Wing and I will repay you tomorrow.",emotional manipulation|emergency transfer|repayment promise,HIGH,BanteayDigital demo verified seed,true
107,Fake Traffic Penalty,government_impersonation,A false official notice threatens legal action for an unpaid traffic penalty.,"Official notice: pay your traffic penalty immediately to avoid legal action.",government impersonation|threat|urgent payment,HIGH,BanteayDigital demo verified seed,true
108,Advance Fee Loan,loan_scam,A loan offer asks for a processing fee before funds can be released.,"Your loan is approved. Pay the processing fee to release the money today.",loan fee|advance payment|urgency,HIGH,BanteayDigital demo verified seed,true
109,Remote Support Takeover,remote_access_scam,A fake support message asks the victim to install remote-control software.,"Install AnyDesk now so our support team can fix your banking app.",remote access|bank impersonation|software installation,CRITICAL,BanteayDigital demo verified seed,true
110,Social Account Recovery,phishing,A fake social-platform notice asks for urgent account recovery verification.,"Your Facebook account will be disabled. Recover it immediately using this verification page.",account threat|social impersonation|credential lure,HIGH,BanteayDigital demo verified seed,true
"111","Fake Wing Telegram Loan Fee","loan_scam","An impersonated bank Telegram channel promises an instant loan but demands a fee and identity documents first.","ឥណទានរបស់អ្នកត្រូវបានអនុម័តភ្លាមៗ។ សូមផ្ញើរូបអត្តសញ្ញាណប័ណ្ណ និងបង់ថ្លៃសេវា ៥០,០០០ រៀលតាម KHQR ដើម្បីទទួលប្រាក់ថ្ងៃនេះ។","bank impersonation|advance fee|ID document request|Telegram contact","HIGH","https://www.wingbank.com.kh/en/company/security-awareness-center/scam-awareness","true"
"112","Fake Wing Cash Prize Fee","prize_scam","A fake bank page announces an unexpected cash prize and asks for an advance commission payment.","អបអរសាទរ! អ្នកឈ្នះរង្វាន់ ២,០០០,០០០ រៀល។ បង់កម្រៃ ៤០,០០០ រៀលឥឡូវនេះ ដើម្បីបើកការទទួលរង្វាន់។","unexpected prize|advance fee|bank impersonation|urgency","HIGH","https://www.wingbank.com.kh/km/company/security-awareness-center/scam-awareness","true"
"113","Fake Mobile Banking Verification Page","phishing","A bank lookalike page threatens suspension and requests credentials and an OTP.","គណនីធនាគាររបស់អ្នកនឹងត្រូវផ្អាកក្នុងរយៈពេល ៣០ នាទី។ សូមចូល https://bank-secure.example ហើយបញ្ចូលពាក្យសម្ងាត់ និង OTP។","account threat|lookalike link|password request|OTP request","CRITICAL","https://www.wingbank.com.kh/en/company/security-awareness-center/scam-awareness","true"
"114","Unofficial Banking App Download","malware_scam","A message directs the recipient to install a supposed banking update from outside an official app store.","កម្មវិធីធនាគាររបស់អ្នកហួសកំណត់ហើយ។ ទាញយកកំណែថ្មីពី https://mobile-update.example ដើម្បីបន្តប្រើគណនី។","unofficial app|external download|bank impersonation|credential theft risk","CRITICAL","https://www.wingbank.com.kh/en/company/security-awareness-center/scam-awareness","true"
"115","Public Figure Telegram Investment Impersonation","investment_scam","A Telegram account impersonates a Cambodian public figure to promote guaranteed investment profits.","ខ្ញុំជាតំណាងផ្លូវការរបស់ថ្នាក់ដឹកនាំ។ វិនិយោគ ៤០០,០០០ រៀលថ្ងៃនេះ ហើយទទួលបាន ២,០០០,០០០ រៀលក្នុង ២៤ ម៉ោង។","public figure impersonation|guaranteed return|Telegram solicitation|urgent transfer","CRITICAL","https://www.trc.gov.kh/en/media/news-releases/7-news-release","true"
"116","Telegram Lottery Identity Harvesting","prize_scam","A Telegram message claims the recipient won a prize and requests identity and banking information.","លេខទូរសព្ទរបស់អ្នកឈ្នះរង្វាន់ធំ។ សូមផ្ញើអត្តសញ្ញាណប័ណ្ណ លេខគណនី និងលេខទូរសព្ទ ដើម្បីទទួលប្រាក់។","unexpected prize|identity request|bank information request|Telegram contact","HIGH","https://www.trc.gov.kh/en/media/news-releases/7-news-release","true"
"117","Fake Telegram Security Team","account_takeover","A scammer impersonates Telegram support and threatens account loss to obtain a login code.","ក្រុមសុវត្ថិភាព Telegram រកឃើញការចូលខុសប្រក្រតី។ ផ្ញើលេខកូដដែលទើបទទួលបានមកយើងភ្លាម បើមិនដូច្នោះគណនីនឹងត្រូវបិទ។","support impersonation|account threat|verification code request|urgency","CRITICAL","https://www.trc.gov.kh/en/media/news-releases/7-news-release","true"
"118","Paid Facebook Page Protection Scam","service_scam","A fake security provider uses fear to sell protection for a social-media page.","ផេករបស់អ្នកកំពុងត្រូវ Hacker វាយប្រហារ។ បង់ ១៥០,០០០ រៀលឱ្យយើងឥឡូវនេះ ដើម្បីការពារផេកមិនឱ្យបាត់។","fear tactic|unverified protection service|advance payment|social media targeting","HIGH","https://www.trc.gov.kh/en/media/news-releases/23-news-release","true"
"119","Page Admin Rights Takeover","account_takeover","A supposed page-protection agent requests administrator access and credentials.","ដើម្បីធានាសុវត្ថិភាពផេក សូមបន្ថែមគណនីយើងជា Admin ហើយផ្ញើអ៊ីមែល ពាក្យសម្ងាត់ និង OTP។","admin access request|password request|OTP request|fake security service","CRITICAL","https://www.trc.gov.kh/en/media/news-releases/23-news-release","true"
"120","Bank Staff OTP Call","vishing","A caller claiming to be bank staff asks for an OTP to cancel a suspicious transaction.","ខ្ញុំទូរសព្ទពីផ្នែកសុវត្ថិភាពធនាគារ។ មានប្រតិបត្តិការសង្ស័យ សូមប្រាប់ OTP ឥឡូវនេះ ដើម្បីលុបចោល។","bank impersonation|OTP request|phone call|urgent account claim","CRITICAL","https://www.wingbank.com.kh/en/internet-banking-terms-and-conditions","true"
"121","Card Expiry Verification SMS","smishing","A fraudulent SMS asks for card details through a link under the pretext of card expiry.","កាតរបស់អ្នកនឹងផុតកំណត់ថ្ងៃនេះ។ ចុច https://card-renew.example ហើយបញ្ចូលលេខកាត CVV និង OTP ដើម្បីបន្តប្រើប្រាស់។","card data request|suspicious link|OTP request|expiry pressure","CRITICAL","https://www.wingbank.com.kh/en/company/security-awareness-center/card-security-awareness","true"
"122","Parcel Redelivery Micro-Fee","delivery_scam","A fake courier message requests a small payment through a lookalike delivery page.","កញ្ចប់របស់អ្នកមិនអាចដឹកជូនបានទេ។ សូមបង់ ៨,០០០ រៀលនៅ https://parcel-redelivery.example ក្នុងថ្ងៃនេះ។","delivery impersonation|small fee|lookalike link|urgency","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/phishing-scams/","true"
"123","Fake Customs Release Payment","delivery_scam","A parcel notification demands a customs payment before a nonexistent shipment can be released.","កញ្ចប់ពីបរទេសរបស់អ្នកជាប់នៅគយ។ បង់ថ្លៃដោះលែង ៧៥,០០០ រៀលតាម KHQR មុនម៉ោង ៥ ល្ងាច។","unexpected parcel|customs fee|KHQR payment|deadline pressure","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/e-commerce-scams/","true"
"124","Facebook Marketplace Reservation Deposit","marketplace_scam","A marketplace seller pressures the buyer to reserve an underpriced item using a KHQR deposit.","iPhone ថ្មីតម្លៃតែ ១,២០០,០០០ រៀល។ មានអ្នកចង់ទិញច្រើន សូមកក់ ២០០,០០០ រៀលតាម KHQR មុនពេលមកមើល។","price too low|advance deposit|KHQR payment|scarcity pressure","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/e-commerce-scams/","true"
"125","Off-Platform Seller Payment","marketplace_scam","A seller moves the transaction away from the marketplace and requests a direct transfer.","កុំបង់តាមកម្មវិធី ព្រោះមានថ្លៃសេវា។ ផ្ទេរទៅគណនីផ្ទាល់ខ្លួនខ្ញុំ ហើយខ្ញុំនឹងផ្ញើទំនិញភ្លាម។","off-platform payment|personal account transfer|platform avoidance|delivery promise","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/e-commerce-scams/","true"
"126","Fake Buyer Payment Receipt","marketplace_scam","A fraudulent buyer sends a forged transfer receipt and pressures the seller to release an item.","ខ្ញុំបានផ្ទេរប្រាក់រួចហើយ នេះជារូបវិក្កយបត្រ។ សូមផ្ញើទំនិញឥឡូវ កុំរង់ចាំសារពីធនាគារ។","fake payment proof|release pressure|unconfirmed transfer|marketplace contact","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/e-commerce-scams/","true"
"127","Malicious Delivery QR Code","qr_code_scam","A delivery notice uses a QR code leading to a credential or payment harvesting page.","ការដឹកជញ្ជូនបានបរាជ័យ។ ស្កេន QR នៅលើសំបុត្រនេះ ដើម្បីកំណត់ថ្ងៃដឹកជូនថ្មី និងបញ្ចូលព័ត៌មានកាត។","QR code lure|delivery impersonation|card data request|redelivery claim","HIGH","https://consumer.ftc.gov/consumer-alerts/2023/12/scammers-hide-harmful-links-qr-codes-steal-your-information","true"
"128","Product Boosting Task Deposit","task_scam","A fake online job displays earnings but requires a crypto deposit to continue product-boosting tasks.","ការងារងាយៗ ដាក់ពិន្ទុផលិតផល ហើយរកបាន ២០ ដុល្លារក្នុងមួយថ្ងៃ។ ដាក់ USDT ៣០ ដើម្បីបើកភារកិច្ចបន្ទាប់។","unexpected job offer|product boosting|crypto deposit|fake earnings","CRITICAL","https://consumer.ftc.gov/consumer-alerts/2024/11/task-scams-create-illusion-making-money","true"
"129","Rating Commission Recharge","task_scam","A task platform claims accumulated commission is locked until the user recharges a wallet.","កម្រៃជើងសាររបស់អ្នកមាន ១៨០ ដុល្លារ ប៉ុន្តែត្រូវ Recharge ៦០ ដុល្លារមុន ដើម្បីដកប្រាក់ទាំងអស់។","wallet recharge|withdrawal blocked|fake commission|advance payment","CRITICAL","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/job-scams/","true"
"130","Online Job Registration Fee","job_scam","An unsolicited work-from-home offer charges a registration fee before any work begins.","ក្រុមហ៊ុនកំពុងជ្រើសរើសបុគ្គលិកធ្វើការពីផ្ទះ ប្រាក់ចំណូល ១០០ ដុល្លារក្នុងមួយថ្ងៃ។ បង់ថ្លៃចុះឈ្មោះ ២៥ ដុល្លារដើម្បីចាប់ផ្តើម។","easy income|registration fee|unverified employer|work-from-home offer","HIGH","https://consumer.ftc.gov/articles/job-scams","true"
"131","Fake Job Equipment Purchase","job_scam","A supposed employer sends a fake payment and tells the applicant to buy equipment from a designated vendor.","អ្នកត្រូវបានជ្រើសរើសហើយ។ យើងផ្ញើមូលប្បទានប័ត្រសម្រាប់ទិញ Laptop; សូមផ្ញើប្រាក់នៅសល់ទៅអ្នកផ្គត់ផ្គង់របស់យើង។","fake check|equipment purchase|designated vendor|new hire targeting","HIGH","https://consumer.ftc.gov/articles/how-spot-avoid-and-report-fake-check-scams","true"
"132","Transfer Agent Money Mule Job","money_mule_scam","A fake job recruits the recipient to receive money and forward it while keeping a commission.","ការងាររបស់អ្នកគ្រាន់តែទទួលប្រាក់ចូលគណនី រួចផ្ទេរទៅអតិថិជនផ្សេង។ អ្នកអាចរក្សាទុក ១០ ភាគរយជាកម្រៃ។","receive and forward funds|commission promise|personal bank account|job pretext","CRITICAL","https://www.interpol.int/Crimes/Financial-crime/Money-mules-what-are-the-risks","true"
"133","Guaranteed Crypto Return Group","investment_scam","A social-media investment group guarantees an implausible short-term cryptocurrency return.","វិនិយោគ ១០០ USDT ឥឡូវនេះ ហើយទទួល ៥០០ USDT ក្នុង ២៤ ម៉ោង។ ចំណេញធានា គ្មានហានិភ័យ។","guaranteed return|unrealistic profit|crypto transfer|zero-risk claim","CRITICAL","https://consumer.ftc.gov/articles/investment-scams","true"
"134","Crypto Withdrawal Tax Scam","investment_scam","A fake trading platform shows invented profits and demands a tax before allowing withdrawal.","គណនីវិនិយោគរបស់អ្នកចំណេញ ៦,០០០ ដុល្លារ។ បង់ពន្ធដកប្រាក់ ៨០០ ដុល្លារមុន ដើម្បីទទួលប្រាក់ចំណេញ។","fake profits|withdrawal fee|crypto platform|advance tax","CRITICAL","https://consumer.ftc.gov/articles/investment-scams","true"
"135","Romance Crypto Mentor","romance_scam","An online romantic contact builds trust and then directs the victim to a fake crypto platform.","ខ្ញុំស្រឡាញ់អ្នក ហើយចង់ឱ្យយើងមានអនាគតល្អ។ ដាក់ប្រាក់នៅ https://future-crypto.example តាមដែលខ្ញុំណែនាំ អ្នកនឹងចំណេញច្រើន។","romantic trust|investment coaching|fake platform|crypto solicitation","CRITICAL","https://www.interpol.int/News-and-Events/News/2024/INTERPOL-Financial-Fraud-assessment-A-global-threat-boosted-by-technology","true"
"136","Romance Hospital Emergency Transfer","romance_scam","A remote romantic partner requests urgent money for a fabricated hospital emergency.","ខ្ញុំត្រូវការជំនួយបន្ទាន់។ ម្តាយខ្ញុំនៅមន្ទីរពេទ្យ ហើយខ្ញុំមិនអាចចូលគណនីបានទេ។ សូមផ្ញើ ៣០០ ដុល្លារថ្ងៃនេះ។","emotional manipulation|hospital emergency|urgent transfer|online relationship","HIGH","https://www.interpol.int/Crimes/Financial-crime/Social-engineering-scams","true"
"137","AI Voice Family Emergency","family_emergency_scam","A caller uses a cloned or imitated family voice to request secret emergency payment.","ម៉ាក់ ខ្ញុំមានគ្រោះថ្នាក់ ហើយទូរសព្ទខ្ញុំខូច។ សូមផ្ញើប្រាក់ទៅគណនីដែលមេធាវីផ្ញើឱ្យ ហើយកុំប្រាប់នរណា។","family impersonation|voice cloning risk|secrecy request|urgent payment","CRITICAL","https://consumer.ftc.gov/articles/scammers-use-fake-emergencies-steal-your-money","true"
"138","Fake Traffic Fine KHQR","government_impersonation","A false authority notice threatens legal consequences and requests payment to an unofficial KHQR.","សេចក្តីជូនដំណឹងចុងក្រោយ៖ អ្នកជំពាក់ពិន័យចរាចរណ៍ ១៨០,០០០ រៀល។ បង់តាម KHQR នេះភ្លាម ដើម្បីជៀសវាងតុលាការ។","government impersonation|legal threat|KHQR payment|urgency","HIGH","https://consumer.ftc.gov/consumer-alerts/2026/04/text-about-traffic-violation-probably-scam","true"
"139","Electricity Disconnection Threat","utility_scam","A caller threatens immediate electricity disconnection unless payment is made through an unusual method.","វិក្កយបត្រអគ្គិសនីរបស់អ្នកមិនទាន់បង់ទេ។ ផ្ទេរប្រាក់ក្នុងរយៈពេល ៣០ នាទី បើមិនដូច្នោះសេវានឹងត្រូវកាត់ផ្តាច់។","utility impersonation|service threat|immediate payment|unusual transfer","HIGH","https://consumer.ftc.gov/avoiding-reporting-gift-card-scams","true"
"140","Remote Banking Support Takeover","remote_access_scam","Fake support asks the victim to install remote-control software and open a banking app.","ទូរសព្ទរបស់អ្នកមានមេរោគ។ ដំឡើងកម្មវិធីបញ្ជាពីចម្ងាយ ហើយបើក Mobile Banking ដើម្បីឱ្យយើងជួសជុល។","tech support impersonation|remote access|banking app request|malware claim","CRITICAL","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/tech-support-scams/","true"
"141","Fake Security Update Download","malware_scam","A popup claims an urgent security update is required and links to an untrusted installer.","ការព្រមាន៖ ឧបករណ៍របស់អ្នកមានហានិភ័យខ្ពស់។ ទាញយក Security Update ពី https://device-patch.example ឥឡូវនេះ។","fake warning|untrusted download|urgency|malware risk","CRITICAL","https://www.camcert.gov.kh/avoid-business-scams/","true"
"142","Lottery Tax Before Release","prize_scam","A lottery notification requires tax or handling payment before releasing an unexpected prize.","អ្នកឈ្នះឆ្នោត ១០,០០០ ដុល្លារ។ បង់ពន្ធ និងថ្លៃដឹកជញ្ជូន ២៥០ ដុល្លារមុន ដើម្បីទទួលរង្វាន់។","unexpected lottery|advance tax|handling fee|large prize","HIGH","https://consumer.ftc.gov/articles/fake-prize-sweepstakes-and-lottery-scams","true"
"143","Instant Loan Processing Fee","loan_scam","A lender guarantees approval and asks for a processing or insurance fee before disbursement.","ឥណទាន ៥,០០០ ដុល្លាររបស់អ្នកបានអនុម័តដោយមិនបាច់ពិនិត្យឥណទាន។ បង់ថ្លៃដំណើរការ ១០០ ដុល្លារមុន។","guaranteed approval|advance fee|no credit check|urgent disbursement","HIGH","https://www.wingbank.com.kh/en/company/security-awareness-center/scam-awareness","true"
"144","Identity Verification Document Harvesting","identity_theft","A fake verification process requests an ID photo, selfie, bank details, and password.","ដើម្បីធ្វើ KYC សូមផ្ញើរូបអត្តសញ្ញាណប័ណ្ណទាំងសងខាង រូប Selfie លេខគណនី និងពាក្យសម្ងាត់ក្នុង Chat នេះ។","ID document request|selfie request|bank details|password request","CRITICAL","https://www.camcert.gov.kh/identity-theft/","true"
"145","Disaster Relief Donation Impersonation","charity_scam","A fake charity uses a recent disaster and urgency to solicit transfers to a personal account.","ជួយគ្រួសាររងគ្រោះជាបន្ទាន់។ សូមបរិច្ចាគទៅគណនីផ្ទាល់ខ្លួននេះក្នុងថ្ងៃនេះ ព្រោះយើងត្រូវទិញអាហារភ្លាមៗ។","disaster appeal|personal account|urgent donation|unverified charity","HIGH","https://consumer.ftc.gov/consumer-alerts/2026/08/when-donating-support-those-need-not-scammer","true"
"146","Romanized Khmer Work From Home Fee","job_scam","A Romanized Khmer recruitment message promises high daily income and asks for a joining fee.","Tver kar tam phone ban 80 dollar mouy thngai. Bong fee chol team 20 dollar mun sen hai start ban phleam.","Romanized Khmer|easy income|joining fee|unverified recruiter","HIGH","https://consumer.ftc.gov/articles/job-scams","true"
"147","Romanized Product Rating Recharge","task_scam","A Romanized Khmer task offer asks the worker to recharge an account before withdrawing commission.","Rate product 5 dong ban commission. Som recharge 50 USDT dermbei unlock task ning withdraw profit.","Romanized Khmer|rating tasks|crypto recharge|withdrawal promise","CRITICAL","https://consumer.ftc.gov/consumer-alerts/2024/11/task-scams-create-illusion-making-money","true"
"148","Mixed Khmer Marketplace Deposit","marketplace_scam","A mixed-language seller demands a KHQR reservation payment before inspection.","Laptop ថ្មី special price $280 only today. ផ្ញើ deposit $50 តាម KHQR now ដើម្បី reserve មុនអ្នកផ្សេង។","price too low|KHQR deposit|mixed-language pressure|no inspection","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/e-commerce-scams/","true"
"149","Romanized Parcel Fee Link","delivery_scam","A Romanized Khmer message impersonates a courier and requests a redelivery fee at a suspicious link.","Package robos bong delivery min ban te. Som pay 2 dollar nov https://parcel-fix.example mun pel 6pm.","Romanized Khmer|delivery impersonation|small fee|suspicious link","HIGH","https://consumer.ftc.gov/consumer-alerts/2025/04/think-text-message-usps-it-could-be-scam","true"
"150","Mixed Khmer Bank OTP Request","smishing","A mixed Khmer-English bank alert asks for login details and an OTP through an external site.","Bank security alert: គណនីអ្នកមាន unusual login. Verify នៅ https://account-check.example ហើយបញ្ចូល password និង OTP។","bank impersonation|account alert|credential request|OTP request","CRITICAL","https://www.camcert.gov.kh/spam-and-phishing/","true"
"151","Romanized Instant Loan Commission","loan_scam","A Romanized Khmer loan message requires a commission before releasing approved funds.","Loan bong approve 3000 dollar hai. Som transfer commission 70 dollar mun sen teub money release today.","Romanized Khmer|loan approval|advance commission|urgency","HIGH","https://www.wingbank.com.kh/en/company/security-awareness-center/scam-awareness","true"
"152","Mixed Khmer VIP Crypto Signal","investment_scam","A mixed-language Telegram pitch guarantees returns from a VIP cryptocurrency group.","Join VIP Telegram ឥឡូវនេះ។ Invest 100 USDT, guaranteed profit 400 USDT tomorrow, no risk.","Telegram group|guaranteed profit|crypto investment|zero-risk claim","CRITICAL","https://www.trc.gov.kh/en/media/news-releases/7-news-release","true"
"153","Romanized Romance Emergency","romance_scam","A Romanized Khmer romantic contact requests emergency money and promises quick repayment.","Oun srolanh bong nas. Pel nih mae oun chheu nov hospital; som send 250 dollar, oun song vinh tomorrow.","Romanized Khmer|romantic trust|hospital emergency|repayment promise","HIGH","https://www.interpol.int/Crimes/Financial-crime/Social-engineering-scams","true"
"154","Mixed Khmer Prize Claim Fee","prize_scam","A mixed-language prize message demands a claim fee and identity details.","Congratulations! អ្នកឈ្នះ cash prize $5,000. Pay claim fee $100 និង send ID photo before midnight.","unexpected prize|claim fee|ID request|deadline pressure","HIGH","https://consumer.ftc.gov/articles/fake-prize-sweepstakes-and-lottery-scams","true"
"155","Mixed Khmer Account Protection Service","service_scam","A fake cybersecurity service claims a social account is under attack and requests money and admin access.","Your page is under attack! បង់ $40 ហើយ add account នេះជា Admin ដើម្បី protection ភ្លាមៗ។","fake protection service|admin access|advance payment|fear tactic","CRITICAL","https://www.trc.gov.kh/en/media/news-releases/23-news-release","true"
"156","Romanized Supplier Bank Change","business_email_compromise","A Romanized Khmer message impersonates a supplier and changes payment instructions.","Invoice thmei attach. Account bank chas mean problem; som transfer tov account thmei nih today and keep confidential.","supplier impersonation|bank detail change|invoice pressure|secrecy request","CRITICAL","https://www.camcert.gov.kh/avoid-business-scams/","true"
"157","Mixed Khmer CEO Gift Card Request","business_email_compromise","An executive impersonator asks an employee to buy gift cards secretly and send the codes.","ខ្ញុំកំពុង meeting. Please buy 10 gift cards now and send photos of codes to me. កុំប្រាប់អ្នកផ្សេង។","executive impersonation|gift card payment|secrecy request|urgency","CRITICAL","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/business-email-compromise","true"
"158","Romanized Payroll Account Change","business_email_compromise","A fake employee asks payroll to redirect salary to a new account before payday.","Som update salary account robos khnhom tov account thmei nih mun payroll today. Khnhom min ach call verify ban te.","payroll diversion|account change|cannot verify|deadline pressure","CRITICAL","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/business-email-compromise","true"
"159","Mixed Khmer Parking QR Payment","qr_code_scam","A fake parking notice uses a QR code to collect card data or payment.","Parking fine overdue. ស្កេន QR នេះ និង enter card details ដើម្បី avoid extra penalty today.","QR code|parking fine|card details|penalty threat","HIGH","https://www.fbi.gov/contact-us/field-offices/elpaso/news/fbi-tech-tuesday-building-a-digital-defense-against-qr-code-scams","true"
"160","Romanized Delivery Reschedule","phishing","A Romanized Khmer courier text asks the recipient to update an address and pay through a link.","Delivery khos address. Som click https://ship-update.example, update info ning pay fee touch mun package return.","Romanized Khmer|address update|delivery fee|suspicious link","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/phishing-scams/","true"
"161","Mixed Khmer Social Recovery Code","account_takeover","A fake social-platform helper asks for a recovery code sent to the victim.","Facebook support: គណនីអ្នកនឹង disabled. Send recovery code ដែលទើបទទួលបានមក chat នេះឥឡូវ។","support impersonation|recovery code request|account threat|urgency","CRITICAL","https://www.trc.gov.kh/en/media/news-releases/23-news-release","true"
"162","Mixed Khmer Fake Bank App","malware_scam","A bank impersonator links to an unofficial app package and requests login after installation.","Update Mobile Banking ថ្មី។ Download app from https://secure-app.example, install ហើយ login ដើម្បី activate.","bank impersonation|unofficial app|external download|login request","CRITICAL","https://www.wingbank.com.kh/en/company/security-awareness-center/scam-awareness","true"
"163","Romanized Money Transfer Agent","money_mule_scam","A Romanized Khmer job pitch offers commission for moving money through a personal account.","Job easy: receive money chol account bong, transfer tov wallet nih, keep 8 percent commission every day.","Romanized Khmer|receive and forward funds|personal account|commission","CRITICAL","https://www.interpol.int/Crimes/Financial-crime/Money-mules-what-are-the-risks","true"
"164","Mixed Khmer Scam Recovery Fee","recovery_scam","A supposed investigator promises to recover a prior scam loss after an upfront fee.","យើង found money ដែលអ្នកបានបាត់ពី scam មុន។ Pay recovery fee $75 first ហើយយើង refund ក្នុង 24 hours.","prior victim targeting|recovery promise|upfront fee|guaranteed refund","HIGH","https://consumer.ftc.gov/articles/refund-and-recovery-scams","true"
